User,Session,Sequence,H.Period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
Allen,SS202308119101,19,108,40,112,80,104,-3,119,130,61,270,71,50,103,70,91,40,88,140,82,140,71
Allen,SS202308119101,20,111,80,99,39,112,39,122,130,78,231,93,49,89,59,82,40,71,141,61,490,118
Allen,SS202308119101,21,111,60,101,60,95,-4,99,129,102,278,92,59,112,29,102,167,71,130,72,117,182
Allen,SS202308119101,22,101,20,101,70,101,20,107,132,81,259,101,30,121,40,101,60,88,133,101,70,101
Allen,SS202308119101,23,131,67,92,39,102,69,102,117,102,261,109,90,101,20,101,30,71,137,91,70,82
Allen,SS202308119101,24,121,132,102,19,103,79,78,231,101,300,91,20,91,77,111,3,68,140,82,110,80
Allen,SS202308119101,25,109,19,121,20,81,30,111,128,91,221,129,3,88,80,112,3,77,138,71,130,61
Allen,SS202308119101,26,92,80,111,60,101,-4,112,122,61,259,102,49,82,59,102,46,82,190,21,130,79
Allen,SS202308119101,27,121,57,102,49,85,-4,121,110,99,232,101,3,58,127,131,3,58,140,78,100,73
Allen,SS202308119101,28,111,50,121,20,101,20,118,110,92,221,98,70,92,60,81,20,71,147,71,151,71
Allen,SS202308119101,29,92,70,118,39,106,-4,101,104,88,238,111,3,88,80,98,20,92,130,51,158,61
Allen,SS202308119101,30,121,171,118,19,125,-4,112,120,98,251,102,87,81,60,111,40,81,188,71,202,121
Allen,SS202308119101,31,131,240,92,29,102,90,88,121,81,369,113,130,91,70,119,19,82,160,81,219,91
Allen,SS202308119101,32,134,130,101,20,108,20,111,151,91,279,102,29,101,90,109,3,87,171,81,158,62
Allen,SS202308119101,33,108,131,101,29,82,147,112,281,98,353,119,59,102,49,112,3,67,148,71,160,92
Allen,SS202308119101,34,50,390,71,19,81,88,111,171,81,279,91,80,81,57,112,2,68,171,91,128,91
Allen,SS202308119101,35,109,110,93,40,91,147,102,150,101,300,101,100,92,87,102,70,91,160,99,150,92
Allen,SS202308119101,36,111,121,91,87,81,110,92,130,108,304,138,50,82,90,112,80,88,191,91,140,78
Allen,SS202308119101,37,169,331,102,147,101,70,112,157,91,262,119,40,92,60,111,3,78,157,92,90,91
Allen,SS202308119101,38,142,100,101,70,89,90,113,120,102,268,111,80,98,90,102,100,101,147,82,120,81
Allen,SS202308119101,39,111,70,81,88,81,101,101,130,119,271,139,142,101,110,112,118,91,161,81,127,71
Allen,SS202308119101,40,122,76,103,60,81,50,111,127,92,271,108,110,72,80,91,80,78,160,102,130,88
Allen,SS202308119101,41,133,120,91,50,98,100,122,130,109,252,121,80,78,80,101,100,102,157,132,80,81
Allen,SS202308119101,42,131,40,108,50,101,60,122,120,108,292,138,60,91,70,122,49,98,161,112,120,81
Allen,SS202308119101,43,121,47,111,70,81,90,92,117,94,301,118,60,91,70,101,80,89,150,91,110,99
Allen,SS202308119101,44,144,-3,118,80,92,69,92,137,91,292,108,70,91,71,120,50,88,172,101,120,72
Allen,SS202308119101,45,132,49,102,107,91,90,112,127,91,334,107,110,82,69,82,70,98,150,81,131,61
Allen,SS202308119101,46,123,120,98,70,102,60,111,137,112,312,98,70,112,29,112,60,98,142,81,101,91
Allen,SS202308119101,47,121,161,111,51,88,60,122,111,101,289,111,101,98,70,101,50,102,157,71,120,62
Allen,SS202308119101,48,129,69,81,80,92,39,99,150,82,258,111,3,77,80,112,3,57,147,63,120,71
